SampleID	exclude	interferent	spike_amount	spike_unit	cancer_group_expected	cancer_is_expected	cancer_is_detected	cancer_detection_is_correct	cancer_type_predicted	tm_extraction_quant_concentration	analysis_on_binary_target_coverage_stats_mean	analysis_abnormal_coverage_cpg_mean
C	FALSE	Triglycerides	200	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.019	198.0508	1.55297
NC	FALSE	Triglycerides	500	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.082	184.7073	0.1799612
NC	FALSE	Hemoglobin	1000	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.143	227.2557	0.2083015
NC	FALSE	gDNA	100	%	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.547	226.5655	0.2132456
C	FALSE	Triglycerides	500	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	0.875	199.4494	1.296856
NC	FALSE	gDNA	100	%	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.468	194.5961	0.2273919
NC	FALSE	Triglycerides	200	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	0.994	107.4989	0.1012995
NC	FALSE	gDNA	150	%	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.377	225.3243	0.2454115
C	FALSE	gDNA	0	%	cancer	TRUE	TRUE	TRUE	upper_gi	1.11	232.5405	1.094478
NC	TRUE	gDNA	200	%	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.188	8.6692	0.01868931
NC	FALSE	Triglycerides	100	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.095	151.8157	0.1550356
NC	TRUE	Triglycerides	200	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	0.989	8.9797	0.01248199
NC	FALSE	gDNA	200	%	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.095	159.0733	0.1750775
C	FALSE	gDNA	0	%	cancer	TRUE	TRUE	TRUE	upper_gi	1.178	216.4534	1.117099
NC	TRUE	Hemoglobin	0	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.117	26.4889	0.02876309
C	FALSE	Hemoglobin	0	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.284	191.4716	0.8821208
NC	FALSE	Triglycerides	400	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.008	149.0596	0.1550102
C	TRUE	Bilirubin	5	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.017	27.4115	0.2026789
NC	FALSE	gDNA	50	%	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.109	200.4766	0.2018053
NC	FALSE	gDNA	150	%	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.209	157.3568	0.185685
NC	FALSE	Triglycerides	400	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	0.959	183.3505	0.1983587
C	FALSE	gDNA	100	%	cancer	TRUE	TRUE	TRUE	upper_gi	1.237	172.8172	0.8319494
NC	TRUE	Hemoglobin	1000	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.209	16.5008	0.01677434
C	FALSE	Bilirubin	20	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.103	201.8231	0.9748071
NC	FALSE	Hemoglobin	1000	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.213	183.1373	0.2018509
C	FALSE	Bilirubin	20	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.068	157.2697	0.8696302
NC	FALSE	Bilirubin	10	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.073	121.0345	0.1282337
NC	FALSE	gDNA	100	%	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.023	227.5735	0.2318541
C	TRUE	Triglycerides	500	mg/dL	cancer	TRUE	TRUE	TRUE	indeterminate_localization	1.017	5.996	0.04178817
C	FALSE	Bilirubin	10	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.173	138.6862	0.708441
C	FALSE	Hemoglobin	1000	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.089	141.792	0.5649542
C	FALSE	gDNA	150	%	cancer	TRUE	TRUE	TRUE	upper_gi	1.164	190.1107	0.8484498
C	FALSE	Hemoglobin	1000	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.009	215.602	0.8553442
NC	TRUE	Triglycerides	400	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.017	18.4986	0.02325904
C	TRUE	Hemoglobin	0	mg/dL	cancer	TRUE	TRUE	TRUE	lung	1.244	19.5769	0.176338
NC	FALSE	Triglycerides	0	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	0.988	159.454	0.1754994
NC	FALSE	Bilirubin	5	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.116	115.9555	0.1223143
C	FALSE	Triglycerides	200	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.109	158.671	1.117474
NC	FALSE	Triglycerides	0	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.072	88.1675	0.08502564
C	FALSE	Bilirubin	15	mg/dL	cancer	TRUE	TRUE	TRUE	upper_gi	1.1	119.3894	0.5455723
NC	TRUE	Bilirubin	10	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.124	20.2227	0.0252346
NC	FALSE	Triglycerides	200	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	0.916	223.1384	0.2410372
NC	FALSE	Hemoglobin	100	mg/dL	non_cancer	FALSE	FALSE	TRUE	non_cancer	1.15	210.0232	0.2188398
C	FALSE	gDNA	100	%	cancer	TRUE	TRUE	TRUE	upper_gi	1.222	212.2409	1.057974
